candidate_id,candidate_name,gender,age,dob,political_party,election_symbol,is_independent,province_name,district_name,constituency_no,votes_received,vote_share_pct,victory_margin,victory_margin_pct,runner_up_name,runner_up_party,qualification,qualification_normalized,citizenship_district,address,institution
340612,सन्तोष सुब्वा,पुरुष,48,2034-08-13,नेपाली काँग्रेस,रुख,False,कोशी प्रदेश,तेह्रथुम,1,11561,31.42,879,2.39,भानु भक्त ढकाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),एल.एल.बि,एल.एल.बि,तेह्रथुम,तेह्रथुम म्याङलुङ नगरपालिका क्याम्पस टोल,महेन्द्र मोरङ विराटनगर
339479,ध्रुवराज राई,पुरुष,43,2039-03-13,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,False,कोशी प्रदेश,भोजपुर,1,16663,31.01,1913,3.56,शेरधन राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),,Unknown,भोजपुर,भोजपुर टेम्केमैयुङ गाउँपालिका ,
339725,राजेन्द्र कुमार राई,पुरुष,59,2022-12-29,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,False,कोशी प्रदेश,धनकुटा,1,18132,30.62,3875,6.54,दिनेश राई,नेपाली काँग्रेस,आई.ए.,आई.ए.,धनकुटा,धनकुटा पाख्रिवास नगरपालिका राम्चे,त्रि.वि.
341227,यज्ञमणि  न्याैपाने,पुरुष,41,2041-05-27,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,मोरङ,1,27367,38.03,9845,13.68,शान्ती पाख्रिन लामा,श्रम संस्कृति पार्टी,एम.ए.,एम.ए.,ताप्लेजुङ,काठमाडौं काठमाडौँ महानगरपालिका ,
341642,कृष्ण कुमार कार्की,पुरुष,40,2042-08-21,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,मोरङ,2,40924,54.86,25300,33.91,दिलीप कुमार अग्रवाल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),,Unknown,ओखलढुंगा,मोरङ रतुवामाई नगरपालिका ,
341077,गणेश कार्की,पुरुष,40,2042-09-28,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,मोरङ,3,36924,41.28,12570,14.05,शुनिल कुमार शर्मा,नेपाली काँग्रेस,स्‍नात्तकोत्तर,स्‍नात्तकोत्तर,मोरङ,मोरङ पथरी शनिश्चरे नगरपालिका ,त्रि.वि.
342293,सन्तोष राजवंशी,पुरुष,34,2048-09-12,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,मोरङ,4,40833,54.79,28015,37.59,गुरु राज घिमिरे,नेपाली काँग्रेस,स्‍नातक ,Bachelor,मोरङ,मोरङ विराटनगर महानगरपालिका ,त्रि वि
341509,आशा झा,महिला,42,2040-04-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,मोरङ,5,30434,43.13,21019,29.79,फुल कुमार लालवानी,नेपाली काँग्रेस,स्नातक,Bachelor,सप्तरी,मोरङ विराटनगर महानगरपालिका अभिवादन टोल,"लक्ष्मीवल्लभ नर्सिङ मल्टिपल कलेज, सप्तरी"
341123,रुबिना आचार्य,महिला,31,2051-10-10,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,मोरङ,6,55513,64.96,42663,49.92,डा शेखर कोइराला,नेपाली काँग्रेस,MBA,MBA,मोरङ,मोरङ विराटनगर महानगरपालिका आयल निगम,
339794,हर्क राज राई,पुरुष,43,2039-11-15,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,False,कोशी प्रदेश,सुनसरी,1,35741,43.07,8492,10.23,गोमा तामाङ,राष्ट्रिय स्वतन्त्र पार्टी,स्‍नातक,Bachelor,खोटाङ,सुनसरी धरान उपमहानगरपालिका बुद्धचोक,टि.यु.
341392,लाल बिक्रम थापा,पुरुष,39,2043-03-18,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,सुनसरी,2,57348,60.09,41277,43.25,राजीव कोइराला,नेपाली काँग्रेस,डिप्लोमा इन सिभिल इन्जिनियरिङ्ग,डिप्लोमा इन सिभिल इन्जिनियरिङ्ग,धनकुटा,सुनसरी इटहरी उपमहानगरपालिका ,पूर्वाञ्चल क्याम्पस
340042,अशोक कुमार चौधरी,पुरुष,42,2040-01-04,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,सुनसरी,3,47421,53.05,26920,30.12,विजय कुमार गच्‍छदार,नेपाली काँग्रेस,+2 ,Plus 2 / Higher Secondary,सुनसरी,सुनसरी इटहरी उपमहानगरपालिका पचरुखी,
340603,दीपक कुमार साह,पुरुष,49,2033-02-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,सुनसरी,4,42771,54.51,26184,33.37,ज्ञानेन्द्र बहादुर कार्की,नेपाली काँग्रेस,स्तानक मेकानिकल इन्जिनियरिङ्ग,स्तानक मेकानिकल इन्जिनियरिङ्ग,सुनसरी,सुनसरी भोक्राहा नरसिंह गाउँपालिका ,त्रि.यु पुलचौक इन्जिनियरिङ्ग क्याम्पस पुलचौक ललितपुर
341534,प्रकाश सिंह कार्की,पुरुष,62,2020-07-22,नेपाली काँग्रेस,रुख,False,कोशी प्रदेश,सोलुखुम्बु,1,13166,34.14,3752,9.73,अशिम राई,नेपाली कम्युनिष्ट पार्टी,+2,Plus 2 / Higher Secondary,सोलुखुम्बु,सोलुखुम्बु नेचासल्यान गाउँपालिका ,
339964,आरेन राई,पुरुष,29,2053-06-08,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,False,कोशी प्रदेश,खोटाङ,1,16612,28.33,3898,6.65,देव विक्रम राई,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),+2,Plus 2 / Higher Secondary,खोटाङ,खोटाङ केपिलासगढी गाउँपालिका ,कितिनी कलेज ललितपुर
339838,बिश्‍व राज पोखरेल,पुरुष,59,2023-04-20,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,ओखलढुंगा,1,13953,25.12,5,0.01,कुमार लुईटेल,नेपाली काँग्रेस,एम. ए.,एम. ए.,काठमाडौं,काठमाडौं काठमाडौँ महानगरपालिका कोपिला मार्ग,त्रिभुवन विश्वविद्यालय
341485,पारश मणि गेलाल,पुरुष,40,2042-01-10,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,उदयपुर,1,30590,41.38,18984,25.68,राजेश कुमार राई,श्रम संस्कृति पार्टी,स्नातकोत्तर,Masters,सुनसरी,सुनसरी इनरुवा नगरपालिका सिकारी,त्रि.वि.
341674,सुर्य बहादुर  तामाङ्ग,पुरुष,41,2041-10-10,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,कोशी प्रदेश,उदयपुर,2,14802,36.32,7154,17.55,अम्वर बहादुर रायामाझी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),,Unknown,उदयपुर,उदयपुर कटारी नगरपालिका मर्जेतपुर,
341238,पुष्पा कुमारी चौधरी,महिला,36,2046-08-05,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सप्तरी,1,38195,53.55,30348,42.55,सुमित कुमार -,स्वाभिमान पार्टी,,Unknown,सप्तरी,सप्तरी कञ्चनरुप नगरपालिका ,
339852,रामजी यादव,पुरुष,30,2052-07-26,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सप्तरी,2,28404,45.24,14141,22.52,उमेश कुमार यादव,"जनता समाजवादी पार्टी, नेपाल",Bachelor,Bachelor,सप्तरी,सप्तरी राजविराज नगरपालिका विहारपुर,
341099,अमर कान्त चौधरी,पुरुष,44,2038-08-01,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सप्तरी,3,32875,47.44,17636,25.45,उपेन्द्र यादव,"जनता समाजवादी पार्टी, नेपाल",स्नातक,Bachelor,सप्तरी,सप्तरी डाक्नेश्वरी नगरपालिका पातो,
341103,सिताराम साह,पुरुष,65,2017-10-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सप्तरी,4,36412,54.92,23309,35.16,तेजु लाल चौधरी,नेपाली काँग्रेस,I.sc Forestory,I.sc Forestory,सप्तरी,सप्तरी खडक नगरपालिका कल्यानपुर,HETAUDA
340556,बब्लु गुप्ता,पुरुष,28,2054-04-07,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सिराहा,1,41322,61.35,31538,46.83,राम सुन्दर चौधरी,नेपाली काँग्रेस,स्नातक,Bachelor,सिराहा,सिराहा लहान नगरपालिका ,स्नातक
341250,शिव शंकर यादव,पुरुष,30,2052-06-20,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सिराहा,2,39561,56.81,26747,38.41,राम चन्द्र यादव,नेपाली काँग्रेस,स्नातक,Bachelor,सिराहा,सिराहा सुखीपुर नगरपालिका बिद्यानगर,tu
342059,शम्भु कुमार यादव,पुरुष,41,2041-09-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सिराहा,3,32249,45.65,22093,31.28,लिलानाथ श्रेष्ठ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),एम वि.वि.एस,एम वि.वि.एस,सिराहा,सिराहा सिरहा नगरपालिका ,chancho univarcity
341713,तपेश्वर यादव,पुरुष,33,2049-10-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सिराहा,4,36210,57.33,28238,44.71,अजय शंकर नायक,नेपाली कम्युनिष्ट पार्टी,सिभिल ईन्जीनियर,सिभिल ईन्जीनियर,सिराहा,सिराहा नरहा गाउँपालिका नरहा,TU
339806,राम विनोद यादव,पुरुष,49,2032-12-29,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,धनुषा,2,41637,53.36,31439,40.29,दिनेश प्रसाद  यादव परसैला,नेपाली काँग्रेस,10+2,Plus 2 / Higher Secondary,धनुषा,धनुषा जनकपुरधाम उपमहानगरपालिका कनकपट्टी,राजर्षि जनक क्याम्पस
340296,मनिष झा,पुरुष,45,2037-02-01,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,धनुषा,3,43988,59.14,27336,36.75,विमलेन्द्र निधि,नेपाली काँग्रेस,Master in political Science,Master in political Science,धनुषा,धनुषा जनकपुरधाम उपमहानगरपालिका ,T.U.
341797,राज  किशोर  महतो ,पुरुष,51,2031-01-14,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,धनुषा,4,48270,60.98,32461,41.01,महेन्द्र यादव,नेपाली काँग्रेस,,Unknown,धनुषा,धनुषा बटेश्वर गाउँपालिका ,
341312,प्रमोद कुमार महतो,पुरुष,40,2042-04-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,महोत्तरी,1,34636,54.77,22012,34.81,गिरिराज  मणी  पोखरेल,नेपाली कम्युनिष्ट पार्टी,SLC,SLC,महोत्तरी,महोत्तरी गौशाला नगरपालिका ,श्र‍ी मा.वि. गौशाला
341190,दिपक कुमार साह,पुरुष,34,2047-12-10,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,महोत्तरी,2,32722,55.32,22524,38.08,शरत सिंह भण्डारी,"जनता समाजवादी पार्टी, नेपाल",मास्टर्स,मास्टर्स,महोत्तरी,महोत्तरी महोत्तरी गाउँपालिका ,institute of medicine (london school of Hygiene and tropical medicine)
340549,उज्‍ज्‍वल कुमार झा,पुरुष,33,2049-09-25,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,महोत्तरी,3,32451,54.56,26482,44.52,मुहमद रिजवान,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),ईन्जिनियर,ईन्जिनियर,महोत्तरी,महोत्तरी एकडारा गाउँपालिका एकडारा,भि.टि.यू. वेलगाम
341656,गौरी कुमारी,महिला,54,2028-10-05,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,महोत्तरी,4,30132,50.61,21390,35.92,सुरेन्‍द्र कुमार यादव,"जनता समाजवादी पार्टी, नेपाल",I.Sc.,Plus 2 / Higher Secondary,महोत्तरी,महोत्तरी साम्सी गाउँपालिका संग्रामपुर,
342793,नितिमा भण्डारी (कार्की),महिला,43,2039-04-02,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सर्लाही,1,44181,59.83,36310,49.17,शम्भु लाल श्रेष्ठ,नेपाली काँग्रेस,स्नातक तह ,स्नातक तह,काठमाडौं,काठमाडौं काठमाडौँ महानगरपालिका सिनामंगल,old street college eustom (UK)
341252,रबिन महतो,पुरुष,38,2044-10-20,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सर्लाही,2,42512,58.73,33989,46.96,महिन्द्र राय यादव,नेपाली कम्युनिष्ट पार्टी,१०+२ पास,१०+२ पास,सर्लाही,सर्लाही कविलासी नगरपालिका ,"राजर्षि जनक क्याम्पस, जनकपुर"
339904,नरेन्द्र साह कलवार,पुरुष,53,2029-05-25,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सर्लाही,3,46890,60.24,33552,43.1,नारायण काजी श्रेष्‍ठ,नेपाली कम्युनिष्ट पार्टी,आइ ए,आइ ए,सर्लाही,सर्लाही बरहथवा नगरपालिका ,आर आर क्याम्पस जनकपुर
340974,अमरेश कुमार सिह,पुरुष,55,2027-05-20,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,सर्लाही,4,35688,48.65,12857,17.53,गगन कुमार थापा,नेपाली काँग्रेस,p.hd.,p.hd.,सर्लाही,सर्लाही बलरा नगरपालिका बलरा गोट,
341836,राजेश कुमार चौधरी,पुरुष,54,2028-05-04,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,रौतहट,1,28946,43.82,18253,27.63,अजय कुमार गुप्‍ता,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),इन्टरमेडियट,इन्टरमेडियट,रौतहट,रौतहट दुर्गा भगवती गाउँपालिका गंगापिप्रा,बिहार बोर्ड भारत
340266,मो. फिरदोश आलम,पुरुष,39,2043-09-05,नेपाली काँग्रेस,रुख,False,मधेश प्रदेश,रौतहट,2,29528,44.64,11086,16.76,किरण कुमार साह,नेपाली कम्युनिष्ट पार्टी,एम.बि.बि.एस.,एम.बि.बि.एस.,रौतहट,रौतहट राजपुर नगरपालिका राजपुर फरहदवा,"बोलान मेडिकल कालेज, पाकिस्तान"
341005,रविन्‍द्र पटेल,पुरुष,48,2034-10-07,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,रौतहट,3,27318,40.37,15364,22.7,गोविन्द चौधरी,"जनता समाजवादी पार्टी, नेपाल",Ied,Ied,रौतहट,रौतहट मौलापुर नगरपालिका सोनरनिया,"श्री मा.वि. जनज्योती चन्द्रनिगाहपुर, रौतहट"
341093,गणेश पौडेल,पुरुष,43,2039-10-11,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,रौतहट,4,36876,52.93,21011,30.16,देव प्रसाद तिमलसेना,नेपाली काँग्रेस,स्नातकोउत्तर,स्नातकोउत्तर,रौतहट,रौतहट चन्द्रपुर नगरपालिका दुर्गा चोक,
340083,गणेश धिमाल,पुरुष,43,2039-07-10,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,बारा,1,39998,53.13,25775,34.24,शम्भु बहादुर बुढाथोकी,नेपाली काँग्रेस,स्नातकोत्तर,Masters,बारा,बारा कोल्हवी नगरपालिका कोल्हवी वजार,त्रिभुवन विश्व विद्यालय
341439,चन्दन कुमार सिंह,पुरुष,42,2039-12-27,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,बारा,2,35590,48.91,21394,29.4,रामकिशोर प्रसाद यादव,"जनता समाजवादी पार्टी, नेपाल",+2,Plus 2 / Higher Secondary,बारा,बारा देवताल गाउँपालिका पिप्राढी,
340776,अरबिन्द साह,पुरुष,41,2041-01-05,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,बारा,3,40697,57.15,30645,43.04,फरमुल्लाह मंसुर,नेपाली काँग्रेस,स्नातकोत्तर,Masters,बारा,बारा महागढीमाई नगरपालिका ,त्रिभुवन विश्व विद्यालय
341514,रहवर अंसारी,पुरुष,39,2043-01-15,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,बारा,4,41200,55.2,29561,39.61,कृष्ण कुमार श्रेष्ठ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),स्नातकोत्तर,Masters,काठमाडौं,पर्सा वीरगंज महानगरपालिका बहुअरी,
340884,बुद्धि प्रसाद पन्त,पुरुष,46,2036-06-14,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,पर्सा,1,27274,47.66,14244,24.89,प्रदिप यादव,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),,Unknown,रौतहट,पर्सा वीरगंज महानगरपालिका ,
340881,सुशील कुमार कानु,पुरुष,36,2046-01-17,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,पर्सा,2,30740,50.14,18850,30.75,अजय कुमार चौरसिया,नेपाली काँग्रेस,+2,Plus 2 / Higher Secondary,पर्सा,पर्सा वीरगंज महानगरपालिका घडिअर्वा,TU
340309,रामाकान्त प्रसाद चौरसीया,पुरुष,57,2025-04-03,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,पर्सा,3,29679,47.58,13313,21.34,सुरेन्‍द्र प्रसाद चौधरी,नेपाली काँग्रेस,दश,दश,पर्सा,पर्सा वीरगंज महानगरपालिका वर्वागोग,
342274,टेक वहादुर शाक्य,पुरुष,50,2032-11-11,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,मधेश प्रदेश,पर्सा,4,28006,45.28,15472,25.02,रमेश रिजाल,नेपाली काँग्रेस,प्रविणता प्रमाण पत्र political science ,प्रविणता प्रमाण पत्र political science,पर्सा,पर्सा ठोरी गाउँपालिका ,ठाकुराम बहुमुखी क्याम्पस वीरगन्ज
339522,जगदीश खरेल,पुरुष,36,2045-12-27,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,दोलखा,1,32376,40.56,14927,18.7,पार्वत गुरुङ,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),Bachelor,Bachelor,दोलखा,दोलखा कालिन्चोक गाउँपालिका ,Nepal
340091,कृष्ण हरी बुढाथोकी,पुरुष,44,2038-05-10,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,रामेछाप,1,24808,30.26,7199,8.78,माधव प्रसाद ढुंगेल,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),Ph.D,Ph.D,रामेछाप,रामेछाप मन्थली नगरपालिका ,त्रिभुवन वि.
340281,धनेन्द्र कार्की,पुरुष,38,2043-12-22,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,सिन्धुली,1,16659,29.08,784,1.37,प्रदिप कुमार कटुवाल क्षेत्री (के सी),नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),,Unknown,सिन्धुली,सिन्धुली तीनपाटन गाउँपालिका आपटार,
340203,आशिष गजुरेल,पुरुष,44,2038-01-02,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,सिन्धुली,2,17940,33.43,3160,5.89,लेख नाथ दाहाल,नेपाली कम्युनिष्ट पार्टी,मस्टर इन ट्रसपेटेसन सिटम ,मस्टर इन ट्रसपेटेसन सिटम,सिन्धुली,सिन्धुली कमलामाई नगरपालिका ,टेकनिकल युनिर्भसिटि मिउनिक जर्मनी
340518,मोहन आचार्य,पुरुष,48,2033-12-29,नेपाली काँग्रेस,रुख,False,बागमती प्रदेश,रसुवा,1,10656,44.51,5085,21.24,बसन्त भट्ट,राष्ट्रिय स्वतन्त्र पार्टी,,Unknown,रसुवा,रसुवा उत्तरगया गाउँपालिका लहरे,
342066,आसिका तामाङ,महिला,37,2045-07-01,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,धादिङ,1,39128,48.4,24096,29.81,भुमि प्रसाद त्रिपाठी,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),नर्सिङ,नर्सिङ,धादिङ,धादिङ गजुरी गाउँपालिका ,ग्रिनतारा नर्सिङ क्याम्पस
340512,वोध नारायण श्रेष्‍ठ,पुरुष,56,2026-05-03,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,धादिङ,2,26145,37.48,5866,8.41,रमेश प्रसाद धमला,नेपाली काँग्रेस,MS,MS,धादिङ,धादिङ ज्वालामूखी गाउँपालिका पोखरीथोक,
340093,विक्रम तिमिल्सिना,पुरुष,43,2039-07-07,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,नुवाकोट,1,22609,33.6,4012,5.96,प्रकाश शरण महत,नेपाली काँग्रेस,बिध्यावारिधी,बिध्यावारिधी,नुवाकोट,नुवाकोट पञ्चकन्या गाउँपालिका बानियाटार,"ग्रिफित विश्वविध्यालय, अष्ट्रेलिया"
341708,अचुत्तम लामिछाने,पुरुष,48,2034-07-27,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,नुवाकोट,2,32054,47.78,16551,24.67,जगदिश्‍वर नरसिंह के.सी.,नेपाली काँग्रेस,विद्यावारिधी,PhD,रौतहट,काठमाडौं टोखा नगरपालिका ,योङ्ग ईन विश्वविद्यालय (दक्षिण कोरिया)
340716,रन्‍जु न्‍यौपाने,महिला,30,2052-11-20,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,काठमाडौं,1,15455,53.14,9091,31.26,प्रबल  थापा क्षेत्री ,नेपाली काँग्रेस,स्नातकोत्तर,Masters,मोरङ,काठमाडौं काठमाडौँ महानगरपालिका ,
340506,प्रदिप विष्‍ट,पुरुष,51,2031-08-29,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,काठमाडौं,10,37469,64.54,29369,50.59,हिमाल कार्की,नेपाली काँग्रेस,Intermediate in commerce,Intermediate in commerce,काठमाडौं,काठमाडौं कीर्तिपुर नगरपालिका दूधपोखरी,पिपोल्स क्याम्पस
341881,सुनिल के.सी.,पुरुष,43,2039-08-17,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,False,बागमती प्रदेश,काठमाडौं,2,34238,60.05,25364,44.49,कबिर शर्मा,नेपाली काँग्रेस,+2,Plus 2 / Higher Secondary,काठमाडौं,काठमाडौं काठमाडौँ महानगरपालिका निखिलेश्‍वर मार्ग,HSEB
